epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1688.49,0.66629,0.67696,0.89141,0.94977,0.90052,0.9742,0.7807,0.69459,1.07343,0.9319,0.0011684,0.0011684,0.0011684
44,1728.36,0.63639,0.67666,0.87665,0.99386,0.85714,0.96772,0.73085,0.87333,0.952,0.99252,0.0011486,0.0011486,0.0011486
45,1768.17,0.76028,0.77127,0.95562,0.995,0.85714,0.96294,0.75351,0.84616,0.95951,0.98959,0.0011288,0.0011288,0.0011288
46,1807.91,0.68601,0.67665,0.88327,0.99569,0.85714,0.95728,0.79964,0.71091,0.95564,0.9428,0.001109,0.001109,0.001109
47,1847.82,0.71902,0.7059,0.91145,0.99632,0.85714,0.9471,0.78038,0.67183,1.01075,0.92577,0.0010892,0.0010892,0.0010892
48,1887.57,0.65905,0.68325,0.89211,0.99743,0.85714,0.90893,0.74303,0.77689,1.08393,0.95401,0.0010694,0.0010694,0.0010694
49,1927.35,0.72352,0.72431,0.92617,0.9985,0.85714,0.89561,0.72864,0.77717,1.09346,0.94494,0.0010496,0.0010496,0.0010496
50,1967.12,0.6142,0.66991,0.88563,0.99701,0.85714,0.89175,0.71239,0.78429,1.06852,0.95211,0.0010298,0.0010298,0.0010298
51,2007.01,0.68323,0.68258,0.90518,0.99685,0.85714,0.89709,0.72751,0.78524,1.03549,0.96137,0.00101,0.00101,0.00101
52,2046.71,0.65046,0.658,0.87587,0.99599,0.85714,0.92877,0.72323,0.85807,0.93655,0.97398,0.0009902,0.0009902,0.0009902
53,2086.32,0.60004,0.6072,0.88014,0.99606,0.85714,0.93247,0.74179,0.83876,0.90504,0.96953,0.0009704,0.0009704,0.0009704
54,2126.16,0.55153,0.61548,0.85674,1,0.90107,0.94337,0.7862,0.75045,0.84581,0.94427,0.0009506,0.0009506,0.0009506
55,2165.77,0.53044,0.6024,0.85674,1,0.9012,0.9562,0.79101,0.74022,0.85236,0.94612,0.0009308,0.0009308,0.0009308
56,2205.7,0.5862,0.62646,0.88745,1,0.94196,0.96877,0.76178,0.82969,0.84569,0.9805,0.000911,0.000911,0.000911
57,2245.63,0.58517,0.6636,0.84912,1,0.94706,0.97147,0.75516,0.82238,0.84207,0.97334,0.0008912,0.0008912,0.0008912
58,2285.5,0.59715,0.62337,0.87346,1,0.94876,0.97085,0.77519,0.7938,0.86935,0.97289,0.0008714,0.0008714,0.0008714
59,2325.32,0.62078,0.63493,0.89121,1,0.94842,0.95813,0.73915,0.76873,0.85454,0.97021,0.0008516,0.0008516,0.0008516
60,2365.16,0.60425,0.60546,0.8434,0.99907,0.95238,0.95521,0.77258,0.74395,0.84113,0.95719,0.0008318,0.0008318,0.0008318
61,2405.5,0.57239,0.592,0.86949,0.99507,0.95238,0.9552,0.77832,0.68833,0.80927,0.9359,0.000812,0.000812,0.000812
62,2445.27,0.55764,0.57016,0.87192,0.99291,0.95238,0.9552,0.79936,0.65542,0.79438,0.92186,0.0007922,0.0007922,0.0007922
63,2484.17,0.556,0.57329,0.87416,0.99354,0.95238,0.95519,0.8099,0.64082,0.79391,0.91913,0.0007724,0.0007724,0.0007724
64,2524.13,0.56499,0.57533,0.85927,0.99441,0.95238,0.95516,0.78555,0.72639,0.746,0.91286,0.0007526,0.0007526,0.0007526
